"name","smiles","inchi","mass"
"CH4","C","InChI=1S/CH4/h1H4",16.0425
"CH3O2","CO[O]","InChI=1S/CH3O2/c1-3-2/h1H3",47.0333
"CH3O","C[O]","InChI=1S/CH3O/c1-2/h1H3",31.0339
"CH3NO3","CON(=O)=O","InChI=1S/CH3NO3/c1-5-2(3)4/h1H3",77.0394
"CH3O2NO2","COON(=O)=O","InChI=1S/CH3NO4/c1-5-6-2(3)4/h1H3",93.0388
"CH3OOH","COO","InChI=1S/CH4O2/c1-3-2/h2H,1H3",48.0413
"C2H6","CC","InChI=1S/C2H6/c1-2/h1-2H3",30.0690
"C2H5O2","CCO[O]","InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",61.0599
"C2H5O","CC[O]","InChI=1S/C2H5O/c1-2-3/h2H2,1H3",45.0605
"C2H5NO3","CCON(=O)=O","InChI=1S/C2H5NO3/c1-2-6-3(4)5/h2H2,1H3",91.0660
"C2H5OOH","CCOO","InChI=1S/C2H6O2/c1-2-4-3/h3H,2H2,1H3",62.0678
"C3H8","CCC","InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",44.0956
"NC3H7O2","CCCO[O]","InChI=1S/C3H7O2/c1-2-3-5-4/h2-3H2,1H3",75.0865
"NC3H7O","CCC[O]","InChI=1S/C3H7O/c1-2-3-4/h2-3H2,1H3",59.0871
"NC3H7NO3","CCCON(=O)=O","InChI=1S/C3H7NO3/c1-2-3-7-4(5)6/h2-3H2,1H3",105.0926
"NC3H7OOH","CCCOO","InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3",76.0944
"IC3H7O2","[O]OC(C)C","InChI=1S/C3H7O2/c1-3(2)5-4/h3H,1-2H3",75.0865
"IC3H7O","CC(C)[O]","InChI=1S/C3H7O/c1-3(2)4/h3H,1-2H3",59.0871
"IC3H7NO3","CC(C)ON(=O)=O","InChI=1S/C3H7NO3/c1-3(2)7-4(5)6/h3H,1-2H3",105.0926
"IC3H7OOH","OOC(C)C","InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3",76.0944
"NC4H10","CCCC","InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",58.1222
"NC4H9O2","CCCCO[O]","InChI=1S/C4H9O2/c1-2-3-4-6-5/h2-4H2,1H3",89.1131
"NC4H9O","CCCC[O]","InChI=1S/C4H9O/c1-2-3-4-5/h2-4H2,1H3",73.1137
"NC4H9NO3","CCCCON(=O)=O","InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3",119.1192
"HO1C4O2","OCCCCO[O]","InChI=1S/C4H9O3/c5-3-1-2-4-7-6/h5H,1-4H2",105.1125
"HO1C4O","OCCCC[O]","InChI=1S/C4H9O2/c5-3-1-2-4-6/h5H,1-4H2",89.1131
"HOC3H6CHO","OCCCC=O","InChI=1S/C4H8O2/c5-3-1-2-4-6/h3,6H,1-2,4H2",88.1051
"HO1C4NO3","OCCCCON(=O)=O","InChI=1S/C4H9NO4/c6-3-1-2-4-9-5(7)8/h6H,1-4H2",135.1186
"NC4H9OOH","CCCCOO","InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3",90.1210
"HO1C4OOH","OCCCCOO","InChI=1S/C4H10O3/c5-3-1-2-4-7-6/h5-6H,1-4H2",106.1204
"HOC4H8OH","OCCCCO","InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",90.1210
"HO1C3O2","OCCCO[O]","InChI=1S/C3H7O3/c4-2-1-3-6-5/h4H,1-3H2",91.0859
